DATJOIN,Crab_behavior,Habitat,Cover,Start_time,Stop_time,Total_time_elapsed,Continued_from_previous_file,Notes
0909A205,0,,,17:33,17:33,0:00,still no sign of crab,
0909A212,0,4,2,17:33,17:33,0:00,crab obscured by kelp entirely ,
0909A213,0,4,2,17:33,17:33,0:00,crab obscured by kelp entirely ,
0909A214,0,4,2,17:33,17:33,0:00,crab obscured by kelp entirely ,
0909A206,0,,,13:59,14:09,0:10,kelp blocks camera,
0909A209,0,,0,0:00,0:11,0:11,seaweed covers camera cannot see crab,
0909A208,0,,,6:04,6:23,0:19,seaweed covers camera cannot see crab,
0909A215,0,4,2,10:04,10:23,0:19,"when kelp moves, cannot see crab, I think it went back under algae/kelp",
0909A201,0,,,13:57,14:21,0:24,"diver comes into frame again, stirring up bottom, crab flails about",
0909A206,0,,,14:54,15:23,0:29,camera covered by kelp can't see,
0909A313,0,3,1,6:18,7:06,0:48,moves behind rock hard to see,
0909A210,0,,,4:29,5:25,0:56,kelp leaf covers frame crab obscured,
0909A204,0,,,8:16,9:27,1:11,"kelp covers camera, hard to see",
0909A208,0,,,13:26,14:37,1:11,seaweed covers camera cannot see crab,
0909A211,0,4,2,0:00,1:16,1:16,"crab still under kelp, cannot see ",
0909A209,0,,,13:34,14:55,1:21,"kelp leaf covers camera, cannot see crab",
0909A211,0,4,2,11:58,13:22,1:24,can see one chela peeking out from algae,
0909A202,0,,,12:07,13:39,1:32,"kelp leaf covers camera, hard to see",
0809G04,0,3,1,1:22,2:58,1:36,,
0909A206,0,,2,8:54,10:42,1:48,crab disappears from view,
0909A208,0,,0,15:42,17:33,1:51,seaweed covers camera cannot see crab,
0909A211,0,4,2,1:16,3:20,2:04,kelp moves in front of camera blocked,
0809G03,0,3,1,15:17,17:34,2:17,crab hides,
0909A203,0,,,8:44,11:10,2:26,"kelp covers camera, hard to see",
0909A215,0,4,,0:00,2:46,2:46,crab obscured by kelp entirely ,
0909A201,0,3,"1,2",14:30,17:33,3:03,"crab crawls under rock? Also obscured by lots of sediment/seaweed, cannot locate crab for remained of video",
0909A202,0,,,13:39,17:33,3:54,still no sign of crab,
0909A201,0,,,9:59,13:57,3:58,"at about 10 minutes becomes hard to locate crab, no movement..",
0909A211,0,4,2,13:22,17:33,4:11,crab disappears from view,
0909A208,0,,,7:38,13:16,5:38,seaweed covers camera cannot see crab,
0809G04,0,3,1,8:21,14:02,5:41,partially under rock,
0909A203,0,,,11:10,17:33,6:23,still no sign of crab,
0909A206,0,,,0:00,7:42,7:42,no sign of crab,
0909A204,0,,,9:27,17:33,8:06,cannot find crab,
0909A204,0,,,0:00,8:16,8:16,cant find crab,
0909A211,0,4,2,3:20,11:58,8:38,crab under kelp still,
0909A203,0,,,0:00,8:44,8:44,cannot find crab,
0909A202,0,,,0:00,12:07,12:07,cannot find crab,
0803M03,1,0,0,5:06,5:12,0:06,,
0909A301,1,3,0,11:37,11:47,0:10,,
0909A08,1,3,0,4:18,4:29,0:11,,
0803D04,1,0,0,2:59,3:10,0:11,,
0909A02,1,3,0,14:22,14:34,0:12,0,
0909A208,1,4,0,15:30,15:42,0:12,,
0803D12,1,0,0,1:36,1:48,0:12,,
0909A12,1,3,0,6:17,6:30,0:13,,
0909A315,1,3,0,0:00,0:13,0:13,,
0804D01,1,0,0,3:55,4:08,0:13,,
0909A308,1,3,0,9:00,9:14,0:14,,
0803D09,1,0,0,5:57,6:12,0:15,,
0803D01,1,0,0,5:16,5:32,0:16,,
0803D11,1,0,0,13:44,14:00,0:16,,
0804D01,1,0,0,6:05,6:22,0:17,,
0803M14,1,0,0,13:22,13:40,0:18,,
0803D05,1,0,0,17:15,17:34,0:19,,
0803D10,1,0,0,3:46,4:05,0:19,,
0909A01,1,3,0,16:00,16:20,0:20,0,
0803D01,1,0,0,6:17,6:37,0:20,,
0909A02,1,3,0,2:27,2:48,0:21,0,
0909A06,1,3,0,4:17,4:38,0:21,,
0803B14,1,4,0,17:13,17:34,0:21,,
0803D11,1,0,0,17:13,17:34,0:21,,
0804A07,1,3,0,17:13,17:34,0:21,,
0909A304,1,3,3,0:00,0:22,0:22,,
0803B11,1,3,0,0:00,0:22,0:22,,
0803B11,1,3,0,1:48,2:10,0:22,,
0803D01,1,0,0,4:39,5:01,0:22,,
0804A01,1,3,0,7:40,8:02,0:22,,
0909A14,1,3,0,8:31,8:54,0:23,,
0803B09,1,3,0,17:11,17:34,0:23,,
0803M10,1,0,0,1:53,2:16,0:23,,
0809G06,1,3,0,3:17,3:40,0:23,,
0909A06,1,3,0,0:00,0:24,0:24,,
0909A07,1,3,0,6:06,6:30,0:24,"weird camera angle, a bit hard to discern actions",
0909A15,1,3,0,4:46,5:10,0:24,,
0803D03,1,0,0,4:52,5:16,0:24,,
0803M02,1,0,0,0:33,0:57,0:24,,
0809B04,1,3,4,0:00,0:24,0:24,,
0909A12,1,3,0,6:30,6:55,0:25,,
0803M09,1,0,0,11:42,12:07,0:25,,
0804D01,1,0,0,5:13,5:38,0:25,,
0809A09,1,2,0,9:35,10:00,0:25,,
0909A05,1,3,0,3:24,3:50,0:26,,nudibranch swims through frame
0909A209,1,3,2,10:37,11:03,0:26,,
0803M10,1,0,0,5:16,5:42,0:26,,
0909C02,1,3,0,3:41,4:07,0:26,,
0909A307,1,2,0,9:40,10:07,0:27,,
0909C01,1,3,0,17:08,17:35,0:27,,
0909A15,1,3,0,7:13,7:41,0:28,,
0909A15,1,3,0,11:04,11:32,0:28,,
0909A15,1,3,0,12:58,13:26,0:28,,
0803D15,1,0,0,0:00,0:28,0:28,,
0809G06,1,3,0,8:15,8:43,0:28,,
0809G11,1,3,0,0:57,1:25,0:28,,
0909A03,1,3,0,6:57,7:26,0:29,,
0909A308,1,3,0,0:00,0:29,0:29,,
0803B01,1,3,2,15:10,15:39,0:29,,
0803M10,1,0,0,17:05,17:34,0:29,,
0809A02,1,2,3,9:49,10:18,0:29,crab partially obscured by shell,
0909A03,1,3,0,16:40,17:10,0:30,,
0909A09,1,3,0,0:00,0:30,0:30,,
0803D01,1,0,0,6:49,7:19,0:30,,
0809B03,1,3,4,6:32,7:02,0:30,,
0909A208,1,4,0,0:00,0:31,0:31,,
0909A210,1,4,2,0:00,0:31,0:31,"under kelp/algae, appears still  ",
0909A305,1,3,3,5:11,5:42,0:31,,
0909A313,1,3,0,5:39,6:10,0:31,,
0803B12,1,3,0,1:49,2:20,0:31,,
0803M12,1,0,0,0:00,0:31,0:31,,
0809B16,1,3,4,0:00,0:31,0:31,,
0909A05,1,3,0,11:01,11:33,0:32,,
0803M01,1,0,0,9:31,10:03,0:32,,
0803M13,1,0,0,0:00,0:32,0:32,,
0803M13,1,0,0,7:57,8:29,0:32,,
0804D01,1,0,0,7:29,8:01,0:32,,
0809G11,1,3,0,0:00,0:32,0:32,,
0909A301,1,3,0,17:00,17:33,0:33,,
0803D01,1,0,0,7:55,8:28,0:33,,
0803D11,1,0,0,5:57,6:30,0:33,,
0909A305,1,3,0,7:27,8:01,0:34,,
0909A308,1,3,0,16:09,16:43,0:34,,
0803B13,1,4,0,17:00,17:34,0:34,,
0803B16,1,3,0,8:12,8:46,0:34,,
0803D09,1,0,0,0:00,0:34,0:34,,
0803M03,1,0,0,17:00,17:34,0:34,,
0803M12,1,0,0,13:28,14:02,0:34,,
0809A09,1,2,0,10:28,11:02,0:34,,
0909A09,1,3,0,0:59,1:34,0:35,,
