Date_set_out,Camera_and_Station,File_name,File_length,DATJOIN,Substrate,Biogenics,Notes,Location
30-Jun,A,GOPR5835,17:34,0630A01,5,1,no crab in video,Trident
30-Jun,A,GP015835,17:34,0630A02,5,1,no crab in video,Trident
30-Jun,A,GP025835,17:34,0630a03,5,1,no crab in video,Trident
30-Jun,A,GP035835,17:34,0630a04,5,1,no crab in video,Trident
30-Jun,A,GP045835,17:35,0630A05,5,1,no crab in video,Trident
30-Jun,A,GP055835,17:34,0630A06,5,1,no crab in video,Trident
30-Jun,A,GP065835,17:34,0630A07,5,1,no crab in video,Trident
30-Jun,A,GP075835,17:34,0630A08,5,1,no crab in video,Trident
30-Jun,A,GP085835,17:34,0630A09,5,1,no crab in video,Trident
30-Jun,A,GP095835,17:34,0630A10,5,1,no crab in video,Trident
30-Jun,A,GP105835,17:34,0630A11,5,1,no crab in video,Trident
30-Jun,A,GP115835,17:34,0630A12,5,1,no crab in video,Trident
30-Jun,A,GP125835,17:34,0630A13,5,1,no crab in video,Trident
30-Jun,A,GP135835,17:34,0630A14,5,1,no crab in video,Trident
30-Jun,A,GP145835,17:34,0630A15,5,1,no crab in video,Trident
30-Jun,A,GP155835,17:29,0630A16,5,1,no crab in video,Trident
30-Jun,B,GOPR5454,17:34,0630B01,0,0,no crab in video,Trident
30-Jun,B,GP015454,17:34,0630B02,0,0,no crab in video,Trident
30-Jun,B,GP025454,17:34,0630B03,0,0,no crab in video,Trident
30-Jun,B,GP035454,17:34,0630B04,0,0,no crab in video,Trident
30-Jun,B,GP045454,17:34,0630B05,0,0,no crab in video,Trident
30-Jun,B,GP055454,17:34,0630B06,0,0,no crab in video,Trident
30-Jun,B,GP065454,17:34,0630B07,0,0,no crab in video,Trident
30-Jun,B,GP075454,17:34,0630B08,0,0,no crab in video,Trident
30-Jun,B,GP085454,17:34,0630B09,0,0,no crab in video,Trident
30-Jun,B,GP095454,17:34,0630B10,0,0,no crab in video,Trident
30-Jun,B,GP105454,17:34,0630B11,0,0,no crab in video,Trident
30-Jun,B,GP115454,17:34,0630B12,0,0,no crab in video,Trident
30-Jun,B,GP125454,17:34,0630B13,0,0,no crab in video,Trident
30-Jun,B,GP135454,17:34,0630B14,0,0,no crab in video,Trident
30-Jun,B,GP145454,17:34,0630B15,0,0,no crab in video,Trident
30-Jun,B,GP155454,10:17,0630B16,0,0,no crab in video,Trident
30-Jun,C,GOPR0001,17:34,0630C01,5,0,no crab in video,Trident
30-Jun,C,GP010001,17:34,0630C02,5,0,no crab in video,Trident
30-Jun,C,GP020001,17:34,0630C03,5,0,no crab in video,Trident
30-Jun,C,GP030001,17:34,0630C04,5,0,no crab in video,Trident
30-Jun,C,GP040001,17:34,0630C05,5,0,no crab in video,Trident
30-Jun,C,GP050001,17:34,0630C06,5,0,no crab in video,Trident
30-Jun,C,GP060001,14:49,0630C07,5,0,no crab in video,Trident
18-Jul,I,GOPR0002,17:34,0718I01,5,0,no crab in video,Trident
18-Jul,I,GP010002,17:34,0718I02,5,0,no crab in video,Trident
18-Jul,I,GP020002,17:34,0718I03,5,0,no crab in video,Trident
18-Jul,I,GP030002,17:34,0718I04,5,0,no crab in video,Trident
18-Jul,I,GP040002,17:34,0718I05,5,0,no crab in video,Trident
18-Jul,I,GP050002,17:34,0718I06,5,0,no crab in video,Trident
18-Jul,I,GP060002,17:34,0718I07,5,0,no crab in video,Trident
18-Jul,I,GP070002,17:34,0718I08,5,0,no crab in video,Trident
18-Jul,I,GP080002,17:34,0718I09,5,0,no crab in video,Trident
18-Jul,I,GP090002,17:34,0718I10,5,0,no crab in video,Trident
18-Jul,I,GP100002,17:34,0718I11,5,0,no crab in video,Trident
18-Jul,I,GP110002,17:34,0718I12,5,0,no crab in video,Trident
18-Jul,I,GP120002,17:34,0718I13,5,0,no crab in video,Trident
18-Jul,I,GP130002,17:34,0718I14,5,0,no crab in video,Trident
18-Jul,J,GOPR0070,17:34,0718J01,5,0,no crab in video,Trident
18-Jul,J,GP010070,17:34,0718J02,5,0,no crab in video,Trident
18-Jul,J,GP020070,17:34,0718J03,5,0,no crab in video,Trident
18-Jul,J,GP030070,17:34,0718J04,5,0,no crab in video,Trident
18-Jul,J,GP040070,17:34,0718J05,5,0,no crab in video,Trident
18-Jul,J,GP050070,17:34,0718J06,5,0,no crab in video,Trident
18-Jul,J,GP060070,17:34,0718J07,5,0,no crab in video,Trident
18-Jul,J,GP070070,17:34,0718J08,5,0,no crab in video,Trident
18-Jul,J,GP080070,17:34,0718J09,5,0,no crab in video,Trident
18-Jul,J,GP090070,8:27,0718J10,5,0,no crab in video,Trident
18-Jul,G,GOPR0002,17:34,0718G01,0,0,no crab in video,Trident
18-Jul,G,GP010002,17:34,0718G02,0,0,no crab in video,Trident
18-Jul,G,GP020002,17:34,0718G03,0,0,no crab in video,Trident
18-Jul,G,GP030002,17:34,0718G03,0,0,no crab in video,Trident
18-Jul,G,GP030002,17:34,0718G04,0,0,no crab in video,Trident
18-Jul,G,GP040002,17:34,0718G05,0,0,no crab in video,Trident
18-Jul,G,GP050002,17:34,0718G06,0,0,no crab in video,Trident
18-Jul,G,GP060002,17:34,0718G07,0,0,no crab in video,Trident
