Date_set_out,Camera_and_Station,File_name,File_length,DATJOIN,Substrate,Biogenics,Notes,Location
9-Sep,A.1,GOPRO007,17:34,0909A01,2,2,,Trident
9-Sep,A.1,GP01007,17:34,0909A02,2,2,,Trident
9-Sep,A.1,GP020007,17:34,0909A03,2,2,,Trident
9-Sep,A.1,GP030007,17:34,0909A04,2,2,some very interesting nudibranch interactions with each other around 10 min (not included in data),Trident
9-Sep,A.1,GP040007,17:34,0909A05,2,2,,Trident
9-Sep,A.1,GP050007,17:34,0909A06,2,2,,Trident
9-Sep,A.1,GP060007,17:34,0909A07,2,2,,Trident
9-Sep,A.1,GP070007,17:34,0909A08,2,2,,Trident
9-Sep,A.1,GP080007,17:34,0909A09,2,2,,Trident
9-Sep,A.1,GP090007,17:34,0909A10,2,2,,Trident
9-Sep,A.1,GP100007,17:34,0909A11,2,2,,Trident
9-Sep,A.1,GP110007,17:34,0909A12,2,2,,Trident
9-Sep,A.1,GP120007,17:34,0909A13,2,2,,Trident
9-Sep,A.1,GP130007,17:34,0909A14,2,2,,Trident
9-Sep,A.1,GP140007,17:34,0909A15,2,2,,Trident
9-Sep,A.1,GP150007,17:34,0909A16,2,2,,Trident
9-Sep,A.2,GOPR5841,17:33,0909A201,2,2,"same station new crab, crab obscured by seaweed partway through video, entirely hidden",Trident
9-Sep,A.2,GP015841,17:33,0909A202,2,1or2,"crab obscured from the beginning of video, could not see it the entire time",Trident
9-Sep,A.2,GP028541,17:33,0909A203,2,2,"crab obscured from the beginning of video, could not see it the entire time",Trident
9-Sep,A.2,GP035841,17:33,0909A204,2,2,"crab obscured from the beginning of video, could not see it the entire time",Trident
9-Sep,A.2,GP045841,17:33,0909A205,2,2,"crab obscured from the beginning of video, could not see it the entire time",Trident
9-Sep,A.2,GP055841,17:34,0909A206,2,2,crab found about 6 minutes into video,Trident
9-Sep,A.2,GP065841,17:33,0909A207,2,1,,Trident
9-Sep,A.2,GP075841,17:33,0909A208,2,2,,Trident
9-Sep,A.2,GP085841,17:33,0909A209,2,1,camera obscured by kelp at start,Trident
9-Sep,A.2,GP095841,17:33,0909A210,2,1,crab hides under kelp at end,Trident
9-Sep,A.2,GP105841,17:33,0909A211,2,1,crab lost for majority of vid,Trident
9-Sep,A.2,GP115481,17:33,0909A212,2,1,crab under kelp for entirety ,Trident
9-Sep,A.2,GP125841,17:33,0909A213,2,1,crab under kelp for entirety ,Trident
9-Sep,A.2,GP135841,17:33,0909A214,2,1,crab under kelp for entirety ,Trident
9-Sep,A.2,GP145841,17:33,0909A215,2,1,,Trident
9-Sep,A.3,GPR0020,17:33,0909A301,2,1,,Trident
9-Sep,A.3,GP010020,17:33,0909A302,2,1,,Trident
9-Sep,A.3,GP020020,17:33,0909A303,2,1,,Trident
9-Sep,A.3,GP030020,17:33,0909A304,2,1,,Trident
9-Sep,A.3,GP040020,17:33,0909A305,2,1,,Trident
9-Sep,A.3,GP050020,17:33,0909A306,2,1,,Trident
9-Sep,A.3,GP060020,17:33,0909A307,2,1,,Trident
9-Sep,A.3,GP070020,17:33,0909A308,2,1,,Trident
9-Sep,A.3,GP080020,17:33,0909A309,2,1,,Trident
9-Sep,A.3,GP090020,17:33,0909A310,2,1,,Trident
9-Sep,A.3,GP10020,17:33,0909A311,2,1,,Trident
9-Sep,A.3,GP110020,17:33,0909A312,2,1,,Trident
9-Sep,A.3,GP120020,17:33,0909A313,2,1,,Trident
9-Sep,A.3,GP130020,17:33,0909A314,2,1,,Trident
9-Sep,A.3,GP140020,17:33,0909A315,2,1,,Trident
9-Sep,A.3,GP150020,10:17,0909A316,2,1,,Trident
9-Sep,A.4,GOPR0038,17:33,0909A401,2,1,,Trident
9-Sep,A.4,GP010038,17:33,0909A402,2,1,,Trident
9-Sep,A.4,GP020038,17:33,0909A403,2,1,,Trident
9-Sep,A.4,GP030038,17:33,0909A404,2,1,,Trident
9-Sep,A.4,GP040038,17:33,0909A504,2,1,,Trident
3-Aug,B,GOPR0003,17:34,0803B01,2,1,,Trident
3-Aug,B,GP010003,17:34,0803B02,2,1,,Trident
3-Aug,B,GP020003,17:34,0803B03,2,1,,Trident
3-Aug,B,GP030003,17:34,0803B04,2,1,,Trident
3-Aug,B,GP040003,17:34,0803B05,2,1,,Trident
3-Aug,B,GP050003,17:34,0803B06,2,1,,Trident
3-Aug,B,GP060003,17:34,0803B07,2,1,,Trident
3-Aug,B,GP070003,17:34,0803B08,2,1,,Trident
3-Aug,B,GP080003,17:34,0803B09,2,1,,Trident
3-Aug,B,GP090003,17:34,0803B10,2,1,,Trident
3-Aug,B,GP100003,17:34,0803B11,2,1,,Trident
3-Aug,B,GP110003,17:34,0803B12,2,1,,Trident
3-Aug,B,GP120003,17:34,0803B13,2,1,,Trident
3-Aug,B,GP130003,17:34,0803B14,2,1,,Trident
3-Aug,B,GP140003,17:34,0803B15,2,1,,Trident
3-Aug,B,GP150003,10:17,0803B16,2,1,,Trident
3-Aug,D,GOPR3356,17:34,0803D01,2,0,,Trident
3-Aug,D,GP013356,17:34,0803D02,2,0,,Trident
3-Aug,D,GP023356,17:34,0803D03,2,0,,Trident
3-Aug,D,GP033356,17:34,0803D04,2,0,,Trident
3-Aug,D,GP043356,17:34,0803D05,2,0,,Trident
3-Aug,D,GP053356,17:34,0803D06,2,0,,Trident
3-Aug,D,GP063356,17:34,0803D07,2,0,,Trident
3-Aug,D,GP073356,17:34,0803D08,2,0,,Trident
3-Aug,D,GP083356,17:34,0803D09,2,0,,Trident
3-Aug,D,GP093356,17:34,0803D10,2,0,,Trident
3-Aug,D,GP103356,17:34,0803D11,2,0,,Trident
3-Aug,D,GP113356,17:34,0803D12,2,0,,Trident
3-Aug,D,GP123356,17:34,0803D13,2,0,,Trident
3-Aug,D,GP133356,17:34,0803D14,2,0,,Trident
3-Aug,D,GP143356,17:34,0803D15,2,0,,Trident
3-Aug,D,GP153356,10:08,0803D16,2,0,,Trident
3-Aug,M,GPR0002,17:34,0803M01,2,0,,Trident
3-Aug,M,GP01002,17:35,0803M02,2,0,,Trident
3-Aug,M,GP02002,17:34,0803M03,2,0,,Trident
3-Aug,M,GP03002,17:34,0803M04,2,0,,Trident
3-Aug,M,GP04002,17:34,0803M05,2,0,,Trident
3-Aug,M,GP05002,17:34,0803M06,2,0,,Trident
3-Aug,M,GP06002,17:34,0803M07,2,0,,Trident
3-Aug,M,GP07002,17:34,0803M08,2,0,,Trident
3-Aug,M,GP08002,17:34,0803M09,2,0,,Trident
3-Aug,M,GP09002,17:34,0803M10,2,0,,Trident
3-Aug,M,GP100002,17:34,0803M11,2,0,,Trident
3-Aug,M,GP110002,17:34,0803M12,2,0,,Trident
3-Aug,M,GP120002,17:34,0803M13,2,0,,Trident
3-Aug,M,GP130002,17:34,0803M14,2,0,,Trident
3-Aug,M,GP140002,17:34,0803M15,2,0,,Trident
3-Aug,M,GP150002,17:25,0803M16,2,0,,Trident
3-Aug,F,GOPR0034,17:36,0803F01,2,0,,Trident
4-Aug,A,GOPR0002,17:35,0804A01,1,2,,Trident
4-Aug,A,GOPR0003,1:34,0804A02,NA,NA,,Trident
4-Aug,A,GP010002,17:34,0804A03,1,2,,Trident
4-Aug,A,GP020002,17:34,0804A04,1,2,,Trident
4-Aug,A,GP030002,17:34,0804A05,1,2,,Trident
4-Aug,A,GP040002,17:34,0804A06,1,2,,Trident
4-Aug,A,GP050002,17:34,0804A07,1,2,,Trident
4-Aug,A,GP060002,17:34,0804A08,1,2,,Trident
4-Aug,D,GOPR0002,17:42,0804D01,0,2,,Trident
4-Aug,D,GP010002,17:34,0804D02,0,2,,Trident
4-Aug,D,GP020002,17:34,0804D03,0,2,,Trident
9-Aug,A,GOPR6421,17:34,0809A01,5,2,,Trident
9-Aug,A,GP016421,17:34,0809A02,5,2,,Trident
9-Aug,A,GP02621,17:34,0809A03,5,2,,Trident
9-Aug,A,GP03621,17:34,0809A04,5,2,,Trident
9-Aug,A,GP04321,17:34,0809A05,5,2,,Trident
9-Aug,A,GP05321,17:34,0809A06,5,2,,Trident
9-Aug,A,GP066421,17:34,0809A07,5,2,,Trident
9-Aug,A,GP076421,17:34,0809A08,5,2,,Trident
9-Aug,A,GP086421,17:34,0809A09,5,2,,Trident
9-Aug,A,GP096421,,,NA,NA,could not place file on computer for some reason,Trident
9-Aug,B,GOPR0004,17:34,0809B01,5,2,,Trident
9-Aug,B,GP010004,17:34,0809B02,5,2,,Trident
9-Aug,B,GP020004,17:34,0809B03,5,2,,Trident
9-Aug,B,GP030004,17:34,0809B04,5,2,,Trident
9-Aug,B,GP040004,17:34,0809B05,5,2,,Trident
9-Aug,B,GP050004,17:34,0809B06,5,2,,Trident
9-Aug,B,GP060004,17:34,0809B07,5,2,,Trident
