DATJOIN,Effector_species,Interaction,Start_time,Stop_time,Total_time_elapsed,Repeat,Notes 
091A508,blenny,0,15:33,17:12,1:39,,
0812C415,blenny,0,6:58,15:39,8:41,,
0812C416,blenny,0,0:08,0:44,0:36,,
0901A202,blenny,0,3:15,5:15,2:00,,
0901A201,cod,0,3:12,3:18,0:06, school of cod swimming around,
0901A201,cod,0,3:16,3:21,0:15,,
0901A201,cod,0,4:32,4:38,0:06,,
0901A201,cod,0,4:37,4:39,0:02,,
0901A201,cod,0,4:42,4:47,0:05,,
0901A201,cod,0,4:46,4:49,0:03,,
0901A201,cod,0,4:47,4:50,0:03,,
0901A201,cod,0,5:05,5:07,0:02,,
0901A201,cod,0,5:09,5:14,0:05,,
0901A201,cod,0,5:09,5:14,0:05,,
0901A201,cod,0,5:15,5:23,0:08,,
0901A201,cod,0,5:02,6:12,1:10,,
0901A201,cod,0,5:57,6:03,0:05,,
0901A201,cod,0,6:27,6:30,0:03,,
0901A201,cod,0,6:46,7:04,0:18,,
0901A201,cod,0,6:50,7:10,0:20,,
0901A201,cod,0,8:03,8:13,0:10,,
0901A201,cod,0,8:17,8:18,0:01,,
0901A201,cod,0,8:33,8:35,0:02,,
0901A201,cod,0,12:25,12:34,0:09,,
0901A303,cod,0,8:55,9:25,0:30,,
0901A303,cod,0,13:35,13:47,0:12,,
0901A303,cod,0,13:59,14:04,0:05,,
0901A306,cod,0,6:43,7:03,0:30,,
0901A306,cod,0,6:48,6:52,0:04,,
0901A306,cod,0,7:17,7:37,0:20,,
0901A306,cod,0,8:20,8:28,0:08,,
0901A306,cod,0,8:46,8:49,0:03,,
0901A306,cod,0,12:43,13:06,0:24,,
0901A514,flatfish,0,0:39,1:03,0:24,,
0909B606,greenling,0,6:36,6:55,0:19,,
0901A514,greenling,0,14:16,14:48,0:32,,
0812C410,greenling,0,3:38,3:48,0:10,,
0812C411,greenling,0,2:44,2:48,0:04,,
0812C412,greenling,0,1:52,2:04,0:12,,
0812C412,greenling,0,4:14,4:15,0:01,,
0812C413,greenling,0,17:13,17:34,0:21,,
0901A208,greenling,0,11:15,11:26,0:11,,
0901A301,greenling,0,12:10,12:17,0:07,,
0901A301,greenling,0,14:05,14:20,0:15,,
0901A301,greenling,0,14:48,15:00,0:12,,
0901A301,greenling,0,17:30,17:34,0:04,,
0901A301,greenling,0,2:38,3:46,1:08,,
0901A301,greenling,0,0:09,0:11,0:02,,
0901A301,greenling,0,0:52,1:03,0:11,,
0901A301,greenling,0,4:37,5:59,1:22,,
0901A301,greenling,0,12:50,13:39,0:49,,
0901A303,greenling,0,0:00,0:03,0:03,y,
0901A303,greenling,0,0:12,0:26,0:14,,
0901A303,greenling,0,2:33,3:01,0:28,,
0901A303,greenling,0,3:58,4:40,0:42,,
0901A303,greenling,0,10:15,10:23,0:08,,
0901A303,greenling,0,10:38,11:59,1:21,,
0901A303,greenling,0,14:27,14:34,0:07,,
0901A303,greenling,0,15:11,15:45,0:34,,
0901A303,greenling,0,15:52,17:34,1:42,,
0901A304,greenling,0,0:00,0:43,0:43,y,
0901A304,greenling,0,2:05,3:10,1:05,,
0901A305,greenling,0,3:10,3:50,0:40,,
0901A305,greenling,0,13:52,14:10,0:18,,
0901A307,greenling,0,7:12,8:37,1:25,,
0901A307,greenling,0,10:16,10:40,0:24,,
0901A307,greenling,0,12:03,12:34,0:31,,
0901A307,greenling,0,14:15,14:19,0:04,,
0901A502,greenling,0,6:45,6:50,0:05,,
0909B102,greenling,0,6:48,6:53,0:05,,
0909B601,greenling,0,16:11,17:28,1:17,,
0901A505,greenling,0,6:57,6:59,0:02,,
0901A505,greenling,0,9:02,9:23,0:21,y,
0901A505,greenling,3,9:23,9:29,0:06,y,
0909B609,greenling,0,0:11,1:11,1:00,,
0901A506,greenling,0,2:27,2:33,0:06,,
0909B610,greenling,0,14:19,17:34,3:15,,
0909B611,greenling,0,0:00,1:20,1:20,y,
0901A506,greenling,0,2:43,3:01,0:18,,
0909B611,greenling,0,5:26,5:36,0:10,,
0901A506,greenling,0,3:51,4:08,0:17,,
0909B611,greenling,0,6:27,6:50,0:23,,
0909B612,greenling,0,4:19,5:08,0:49,,
091A509,greenling,0,2:20,2:23,0:03,,
0909B612,greenling,0,14:04,16:02,1:58,,
091A509,greenling,0,4:38,5:04,0:26,,
0909B613,greenling,0,13:16,13:43,0:27,,
091A510,greenling,0,6:06,6:31,0:25,,
0909B614,greenling,0,14:05,15:14:00 AM,1:09,,
091A511,greenling,0,6:08,6:13,0:05,,
091A511,greenling,4,6:13,6:17,0:04,y,
0901A512,greenling,0,15:04,15:40,0:36,,
0901A502,greenling,0,7:17,7:42,0:25,,
0909B102,greenling,0,7:08,7:20,0:12,,
0909B602,greenling,0,0:36,0:47,0:11,,
0901A513,greenling,0,10:41,10:44,0:03,,
0901A515,greenling,0,7:35,8:39,1:04,,
0901A503,greenling,0,15:25,15:35,0:10,,
0909B105,greenling,0,8:32,8:38,0:06,,
0909B602,greenling,0,9:37,10:05,0:28,,
0901A503,greenling,0,16:47,16:53,0:06,,
0909B602,greenling,0,16:03,16:06,0:03,,
0901A503,greenling,0,17:15,17:34,0:19,,
0901A504,greenling,0,0:00,0:17,0:17,,
0909B603,greenling,0,5:28,5:58,0:30,,
0901A504,greenling,0,2:30,2:40,0:10,,
0909B603,greenling,0,13:45,15:48,2:03,,
0901A504,greenling,0,3:24,4:09,0:45,,
0909B605,greenling,0,3:10,3:21,0:11,,
0901A504,greenling,0,10:08,10:16,0:08,,
0909B605,greenling,0,10:41,10:59,0:18,,
0901A504,greenling,0,12:36,13:05,0:29,,
0909B606,greenling,0,0:08,0:52,0:44,,
0901A505,greenling,0,9:29,9:50,0:21,y,
0812C406,gunnel,0,3:01,4:25,1:24,,
0812C409,gunnel,0,6:48,8:56,2:12,,
0812C409,gunnel,0,13:25,14:45,1:20,,
0812C410,gunnel,0,1:43,3:12,1:29,,
091A510,gunnel,0,6:04,6:06,0:02,,
0901A514,gunnel,0,15:11,15:42,0:31,,
0812C401,hermit crab,0,6:45,15:43,8:58,,
0812C406,hermit crab,0,3:05,4:26,1:21,y,
0812C406,hermit crab,0,3:11,17:34,14:23,,
0812C406,hermit crab,0,3:43,17:34,13:51,,
0812C407,hermit crab,0,0:00,17:34,17:34,y,
0812C407,hermit crab,0,0:00,17:34,17:34,y,
0812C408,hermit crab,0,0:00,17:34,17:34,y,
0812C408,hermit crab,0,0:00,17:34,17:34,y,
0812C409,hermit crab,0,0:00,17:34,17:34,y,
0812C409,hermit crab,0,0:00,17:34,17:34,y,
0812C410,hermit crab,0,0:00,17:34,17:34,y,
0812C410,hermit crab,0,0:00,17:34,17:34,y,
0812C411,hermit crab,0,0:00,17:34,17:34,y,
0812C411,hermit crab,0,0:00,17:34,17:34,y,
0812C411,hermit crab,0,15:57,17:34,1:37,,
0812C412,hermit crab,0,0:00,17:34,17:34,y,
0812C412,hermit crab,0,0:00,17:34,17:34,y,
0812C412,hermit crab,0,0:00,17:34,17:34,y,
0812C413,hermit crab,0,0:00,17:34,17:34,y,
0812C413,hermit crab,0,0:00,17:34,17:34,y,
0812C413,hermit crab,0,0:00,17:34,17:34,y,
0812C413,hermit crab,0,15:25,17:34,2:09,,
0812C414,hermit crab,0,0:00,17:34,17:34,y,
0812C414,hermit crab,0,0:00,17:34,12:54,y,
0812C414,hermit crab,0,0:00,17:34,17:34,y,
0812C414,hermit crab,0,0:00,6:12,6:12,y,
0812C414,hermit crab,7,6:12,10:28,4:16,y,
0812C414,hermit crab,0,10:28,17:34,7:06,y,
0812C415,hermit crab,0,0:00,17:34,17:34,y,
0812C415,hermit crab,0,0:00,17:34,17:34,y,
0812C415,hermit crab,0,0:00,17:34,17:34,y,
0812C415,hermit crab,0,0:00,17:34,17:34,y,
0812C416,hermit crab,0,0:00,10:20,10:20,y,
0812C416,hermit crab,0,0:00,10:20,10:20,y,
0812C416,hermit crab,0,0:00,10:20,10:20,y,
0812C416,hermit crab,0,0:00,10:20,10:20,y,
0901A202,hermit crab,0,7:56,17:34,9:38,,
0901A203,hermit crab,0,0:00,3:38,3:38,y,
0901A203,hermit crab,8,3:38,3:40,0:02,y,
0901A203,hermit crab,0,3:40,11:50,8:10,y,
0901A203,hermit crab,0,4:14,17:34,13:20,,
0901A204,hermit crab,0,0:00,0:04,0:04,y,
0901A207,hermit crab,0,17:04,17:34,0:30,,
0901A208,hermit crab,0,0:00,4:35,4:35,y,
0901A208,hermit crab,0,3:45,11:07,7:52,,
0901A208,hermit crab,3,11:07,11:08,0:01,y,
0901A208,hermit crab,0,11:08,11:37,0:29,y,
0901A208,hermit crab,3,11:36,11:47,0:11,y,
0901A208,hermit crab,11,11:47,13:12,1:25,y,was walking towards RKC and RKC was moving away
0901A208,hermit crab,3,13:12,13:42,0:30,y,was swipping claw towards crab but then walked off
0901A208,hermit crab,0,13:42,17:34,3:52,y,
0901A209,hermit crab,0,0:00,4:30,4:30,y,
0901A301,hermit crab,0,15:02,17:34,2:32,,
0901A301,hermit crab,0,0:00,4:04,4:04,y,
0901A303,hermit crab,0,0:05,17:34,17:29,,
0901A304,hermit crab,0,0:00,17:34,17:34,y,
0901A304,hermit crab,0,3:21,7:35,4:14,,
0901A305,hermit crab,0,0:00,17:34,17:34,y,
0901A305,hermit crab,0,0:16,17:34,17:18,,
0901A305,hermit crab,0,0:45,7:45,7:00,,
0901A305,hermit crab,0,2:02,5:02,3:00,,
0901A306,hermit crab,0,0:00,8:22,8:22,y,
0901A306,hermit crab,0,0:00,15:27,15:27,,
0901A306,hermit crab,0,9:17,16:54,6:37,,
0901A306,hermit crab,0,13:58,17:34,3:36,,
0901A307,hermit crab,0,0:00,17:34,17:34,y,
0901A308,hermit crab,0,0:00,17:34,17:34,,
0901A308,hermit crab,0,9:14,13:20,3:06,,
0901A309,hermit crab,0,0:00,3:58,3:58,y,
0901A309,hermit crab,0,0:04,0:38,0:34,,
0901A309,hermit crab,0,0:04,2:12,2:08,,
0901A501,hermit crab,0,0:00,7:07,7:07,,
0901A501,hermit crab,0,0:00,16:16,16:16,,
0901A501,hermit crab,0,0:00,10:43,10:43,,
0901A501,hermit crab,0,0:00,12:48,12:48,,
0901A501,hermit crab,8,7:07,7:10,0:03,y,
0901A501,hermit crab,0,7:10,10:05,2:55,y,
0909B101,hermit crab,0,5:50,15:32,9:42,,
0909B105,hermit crab,0,12:00,17:34,5:34,y,
0909B106,hermit crab,0,0:00,11:28,11:28,y,
0909B106,hermit crab,6,11:28,14:00,2:32,y,
0909B601,hermit crab,0,0:17,17:34,17:17,,
0909B602,hermit crab,0,0:00,17:34,17:34,y,
0909B603,hermit crab,0,0:00,5:34,5:34,y,
0901A506,hermit crab,0,13:30,17:34,4:04,,
0901A507 ,hermit crab,0,0:00,13:57,13:57,y,
0909B603,hermit crab,0,0:07,7:13,7:13,,
0901A507 ,hermit crab,0,14:33,17:34,3:01,,
0909B603,hermit crab,0,13:12,17:34,4:22,,
0909B604,hermit crab,0,0:00,17:34,17:34,y,
091A508,hermit crab,0,0:00,1:40,1:40,y,
0909B605,hermit crab,0,0:00,1:36,1:36,,
0909B605,hermit crab,0,6:08,17:34,11:26,,
0909B606,hermit crab,0,0:00,17:34,17:34,y,
0909B607,hermit crab,0,0:00,9:17,9:17,y,
0909B607,hermit crab,0,14:51,16:15,1:24,,
0909B608,hermit crab,0,0:06,17:34,17:28,,
0909B609,hermit crab,0,0:00,17:34,17:34,y,
0909B610,hermit crab,0,0:00,5:52,5:52,,
0909B609,hermit crab,0,0:13,17:34,17:21,,
0909B610,hermit crab,0,0:00,17:34,17:34,y,
0909B611,hermit crab,0,0:00,17:34,17:34,y,
0909B613,hermit crab,0,0:00,11:48,11:48,y,
0909B612,hermit crab,0,0:00,17:34,17:34,y,
0909B609,hermit crab,0,5:26,17:34,12:08,,
0909B610,hermit crab,0,0:00,17:34,17:34,y,
0909B611,hermit crab,0,0:00,7:45,7:45,y,
0909B610,hermit crab,0,4:55,10:36,5:41,,
0909B611,hermit crab,0,2:26,16:24,13:58,,
0909B106,hermit crab,0,2:13,2:20,0:07,,
0909B601,hermit crab,0,1:10,2:20,1:10,,
0909B612,hermit crab,0,4:14,17:34,13:20,,
0909B613,hermit crab,0,0:00,17:34,17:34,y,
0909B614,hermit crab,0,0:00,17:34,17:34,y,
0909B615,hermit crab,0,0:00,6:53,6:53,y,
0909B612,hermit crab,0,11:46,17:34,5:48,,
0909B613,hermit crab,0,0:00,12:17,12:17,y,
0909B614,hermit crab,0,0:14,17:34,17:20,,
0909B615,hermit crab,0,0:00,7:12,7:12,y,
0909B614,hermit crab,0,1:26,17:34,16:08,,
0909B615,hermit crab,0,0:00,17:34,17:34,y,
0909B615,hermit crab,0,11:49,14:48,2:59,,
0909B615,hermit crab,0,14:26,15:22,0:56,,
0909B106,hermit crab,0,7:20,9:36,2:16,,
0909B601,hermit crab,0,1:10,8:30,7:20,,
0909B106,hermit crab,6,11:41,13:33,1:52,,
0909B601,hermit crab,0,1:22,3:20,1:58,,
0901A501,hermit crab,0,0:00,17:34,17:34,,
0901A502,hermit crab,0,0:00,17:34,17:34,y,
0901A503,hermit crab,0,0:00,11:57,11:57,y,
0909B601,hermit crab,0,1:27,10:43,9:16,,
0901A502,hermit crab,0,1:58,3:55,1:57,,
0909B601,hermit crab,0,3:34,8:52,5:18,,
0901A502,hermit crab,0,5:59,17:34,11:35,,
0901A503,hermit crab,0,0:00,14:38,14:38,y,
0909B602,hermit crab,0,6:32,9:11,2:39,,
0901A503,hermit crab,0,5:45,17:34,11:49,,
0901A504,hermit crab,0,0:00,10:05,10:05,y,
0909B602,hermit crab,0,9:15,12:03,2:48,,
0901A504,hermit crab,0,0:05,17:34,17:29,,
0901A505,hermit crab,0,0:00,0:28,0:28,y,
0909B602,hermit crab,0,11:48,17:34,5:46,,
0909B603,hermit crab,0,0:00,2:45,2:45,y,
0901A202,rockfish,0,8:32,8:44,0:12,,
0901A303,rockfish,0,15:41,15:56,0:15,,
0812C405,sculpin,0,4:57,5:43,0:56,,
0812C407,sculpin,0,15:13,17:34,2:21,,
0812C408,sculpin,0,0:00,0:42,0:42,,
0812C408,sculpin,3,0:42,0:45,0:03,y,
0812C408,sculpin,0,0:45,4:21,3:36,y,
0812C408,sculpin,3,4:21,4:28,0:07,y,
0812C408,sculpin,0,4:28,8:04,3:36,y,
0812C408,sculpin,0,0:44,0:46,0:02,,
0812C408,sculpin,3,0:46,0:47,0:01,,
0812C408,sculpin,0,0:47,2:43,1:56,,
0812C411,sculpin,0,11:58,13:21,1:23,,
0812C411,sculpin,0,15:45,15:59,0:14,,
0812C411,sculpin,0,17:04,17:34,0:30,,
0812C412,sculpin,0,0:00,4:05,4:05,,
0812C413,sculpin,0,14:17,15:47,1:30,,
0901A514,sculpin,0,8:42,10:05,1:23,,
0909B102,sculpin,0,0:13,0:34,0:21,,
0909B601,sculpin,0,13:03,17:34,4:31,,
0909B602,sculpin,0,0:00,2:16,2:16,y,
0909B102,sculpin,0,0:16,0:58,0:42,,
0909B102,sculpin,3,0:58,6:12,5:14,y,
0909B601,sculpin,0,13:14,17:34,4:20,,
0909B602,sculpin,0,0:00,9:36,9:36,y,
0909B103,sculpin,0,7:02,8:03,1:01,,
0909B606,sculpin,0,10:23,10:30,0:07,,
0909B614,sculpin,0,3:51,17:34,13:43,,
0909B615,sculpin,0,0:00,3:37,3:37,y,
0909B615,sculpin,3,3:37,3:39,0:02,y,
0909B615,sculpin,0,3:39,5:12,1:53,y,
0909B102,snail,0,0:07,17:34,17:27,,
0909B104,snail,7,0:00,17:34,17:34,y,
0909B105,snail,7,0:00,17:34,17:34,y,
