DATJOIN,Effector_species,Interaction,Start_time,Stop_time,Total_time_elapsed,Repeat,Notes 
0909A01,hooded nudibranch,0,1:42,2:39,:57,,"swam through frame, then stopped and rested in frame"
0909A01,hermit crab ,0,1:02,17:34,16:32,,"far from crab, no interaction"
0909A01,kelp greenling,0,10:21,10:32,:09,,swam off side of frame
0909A01,hooded nudibranch,0,12:01,14:52,2:51,1,still in frame but no longer feeding/moving
0909A02,hermit crab ,0,:00,7:50,7:50,1,continued from last video
0909A02,small sculpin/fish?,0,7:30,7:35,0:05,,darts into frame and scares hermit crab..
0909A02,hermit crab ,7,9:58,10:31,3:33,,"seems as though hermit crab sees our crab and startles and leaves frame, kc doesn't change behavior"
0909A02,hooded nudibranch,0,11:24,12:08,:44,1?,not sure if same nudi as before 
0909A02,small fish,0,14:11,14:16,:05,,far corner away from crab
0909A03,greenling?,8,3:03,3:05,:02,,tail of greenling (hard to id) enters frame quickly and stirs up sediment…seems as though crab froze in respone did not alter position 
0909A03,hermit crab ,0,11:48,17:34,5:46,,slowly moving closer
0909A04,hermit crab ,0,0:00,1:05,1:05,1,
0909A04,hermit crab ,8,1:06,2:03,:57,1,"hermit gets close to king crab, our crab moves away"
0909A04,hermit crab ,0,2:04,4:29,2:25,,"hermit crab is far away from king crab, falls down away (caught/pushed by tether?)"
0909A04,sculpin?,0,3:09,17:34,14:25,,sits in corner of frame far away
0909A04,hermit crab ,7,4:30,5:50,1:20,,"hermit crabs approaches again, gets within a few inches, then turns around, crab did not change position"
0909A04,hermit crab ,7,9:08,10:18,1:10,,"hermit approaches, touches the king crab (which remains frozen) then turns around and leave"
0909A04,kelp greenling,0,13:32,15:08,1:36,,"juvenile, enters and settles on sediment near crab"
0909A04,kelp greenling,0,13:36,14:11,0:35,,"large, enters and settles a bit further away"
0909A04,hermit crab ,7,17:30,17:34,0:04,,"hermit approaches again, no response yet!"
0909A05,hermit crab ,7,0:00,1:12,1:12,1,"hermit approaches, touches the king crab, moves around it and leaves"
0909A05,hermit crab ,0,1:13,10:14,9:01,,
0909A05,sculpin?,0,0:00,6:34,6:34,,sits in corner of frame far away
0909A05,hermit crab ,0,16:32,17:33,1:01,,"different one than before, a bit bigger"
0909A06,hermit crab ,0,0:00,4:10,4:10,1,"eventually leaves, runs away from other crab"
0909A06,jellyfish,0,1:34,2:38,1:04,,
0909A06,hermit crab ,0,2:33,3:27,0:54,,"now there are two hermit crabs, they seem to be fighting and ignoring kc "
0909A06,hermit crab ,0,3:50,4:38,0:48,1,re enters the frame
0909A06,greenling?,0,5:55,5:57,0:02,,"fish swims through the frame, could only see fins"
0909A07,kelp greenling ,0,12:53,13:23,0:30,,
0909A08,kelp greenling,0,4:18,4:21,0:03,,
0909A08,kelp greenling,0,9:39,9:48,0:09,,
0909A08,hermit crab ,3,12:20,15:38,3:18,,"very small hermit, crab pushed it away-hermit returned 2 times more, same outcome"
0909A09,hermit crab ,8,0:00,0:59,0:59,1,
0909A09,hermit crab ,0,1:00,6:06,5:06,1,
0909A09,large hermit crab,0,3:36,6:41,2:05,,
0909A09,kelp greeling ,0,3:39,3:46,0:07,,
0909A09,kelp greenling (#2),3,3:39,4:54,1:15,,"tried to eat crab no success, then leaves our crab and has an interaction with large hermit crab in frame"
0909A09,kelp greenling (#3-small),0,3:52,4:05,0:13,,
0909A09,kelp greenling ,0,10:54,11:48,0:54,,
0909A10,hermit crab ,0,0:00,2:08,2:08,1,
0909A10,hermit crab ,3,2:09,3:34,1:25,1,hermit crab attacks from behind
0909A10,hermit crab ,7,2:35,6:45,4:10,1,hermit crab retreats
0909A10,juvenile kelp greenling,0,5:32,5:42,0:10,,
0909A10,hermit crab ,3,6:45,6:52,0:07,1,
0909A10,hermit crab ,0,6:53,17:34,0:41,1,
0909A10,hermit crab #2 (larger),0,10:06,11:43,1:37,,
0909A10,hermit crab #2 (larger),7,11:43,12:14,0:31,,
0909A10,hermit crab #2 (larger),0,12:15,17:34,5:19,,
0909A11,hermit crab,0,0:00,3:42,3:42,1,
0909A11,hermit crab,7,4:36,5:50,1:14,,
0909A11,kelp greenling ,0,9:10,16:12,7:02,,
0909A11,hermit crab ,0,17:20,17:32,0:12,,
0909A12,hermit crab,0,0:00,4:23,4:23,1,
0909A12,hermit crab #2 (larger),0,4:24,5:20,0:56,1,
0909A12,hermit crab #2 (larger),0,6:32,7:24,0:52,1,
0909A12,kelp greenling ,0,13:22,13:30,0:08,,
0909A12,kelp greenling ,0,16:18,16:21,0:03,,
0909A13,hermit crab,0,0:00,11:07,11:07,1,
0909A13,hermit crab #2,0,8:47,17:34,8:47,,not sure if same one as before
0909A14,hermit crab#2,0,0:00,0:50,0:50,1,
0909A14,hermit crab#2,11,0:51,0:57,0:06,1,
0909A14,hermit crab#2,0,0:58,1:47,0:49,1,
0909A14,hermit crab#2,7,1:48,2:03,0:15,1,
0909A14,hermit crab#2,0,2:04,9:10,7:08,,
0909A14,hermit crab,0,2:52,16:57,14:05,,
0909A14,kelp greenling,0,9:33,10:06,0:39,,"fish partially covered the crab, hard to see what it was doing"
0909A14,kelp greenling,0,10:53,11:04,0:11,,same fish (I think) only tail was in the frame
0909A14,kelp greenling,0,13:50,13:54,0:04,,swam in corner of frame (different fish I think)
0909A14,small shrimp,0,,15:45,,,unsure when it entered the frame as it was very diffucult to see/track
0909A15,hermit crab ,0,1:35,2:04,0:29,,
0909A16,hermit crab,7,15:03,16:59,1:56,,"crawls directly over crab, does not see it?"
0909A201,hermit crab ,0,0:00,17:33,17:33,,
0909A207,kelp greenling ,0,2:20,2:31,0:11,,
0909A208,kelp greenling,0,9:30,9:33,0:03,,swims through frame
0909A212,hermit crab,0,2:22,17:33,15:11,,
